"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.bvsas.sk/novinky/novy-vodojem-zahorskej-bystrici-ma-hotove-obe-komory.html","text/html;charset=utf-8","200","","Indexable","","6e960cd4378c77a8255c0ec7ccae562","86","https://www.bvsas.sk/novinky/novy-vodojem-zahorskej-bystrici-ma-hotove-obe-komory.html","https://www.bvsas.sk/novinky/novy-vodojem-zahorskej-bystrici-ma-hotove-obe-komory.html"
"https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fbvs-pristavi-hlavnom-meste-cisterny-pitnou-vodou.html","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","137","","https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fbvs-pristavi-hlavnom-meste-cisterny-pitnou-vodou.html"
"https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-176.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","62","","https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-176.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/493.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/493.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/892.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/892.pdf"
"https://www.bvsas.sk/files/o-nas/rocne-spravy/uverejnenie-vysledkov-hlasovania-mvz-14-02-2020.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","97","","https://www.bvsas.sk/files/o-nas/rocne-spravy/uverejnenie-vysledkov-hlasovania-mvz-14-02-2020.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/299.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/299.pdf"
"https://www.bvsas.sk/logoff.do?forward=/admin/index.jsp","","302","","Non-Indexable","Redirected","","55","","https://www.bvsas.sk/logoff.do?forward=/admin/index.jsp"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/ost-269-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","96","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/ost-269-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zod-235-2020-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","80","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zod-235-2020-bvs.pdf"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zod-334-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","96","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zod-334-2021-bvs.pdf"
"https://www.bvsas.sk/vodarenske-muzeum/muzeum-expozicie/popis-historia-arealu/","text/html;charset=utf-8","200","","Indexable","","9996ede6b30d03911c2c55fd98b9e609","78","https://www.bvsas.sk/vodarenske-muzeum/muzeum-expozicie/popis-historia-arealu/","https://www.bvsas.sk/vodarenske-muzeum/muzeum-expozicie/popis-historia-arealu/"
"https://www.bvsas.sk/files/o-nas/legislativa/322.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/322.pdf"
"https://www.bvsas.sk/images/novinky/analyza-vzoriek-vody-zdarma-rozsirene-testy-bude-zlava/_bsk9266.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","103","","https://www.bvsas.sk/images/novinky/analyza-vzoriek-vody-zdarma-rozsirene-testy-bude-zlava/_bsk9266.jpg"
"https://www.bvsas.sk/files/kvalita-vody/tvrdost-vody/zakonypreludi_sk_247_2017_zz_20171015.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","94","","https://www.bvsas.sk/files/kvalita-vody/tvrdost-vody/zakonypreludi_sk_247_2017_zz_20171015.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zod-247-2020-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","80","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zod-247-2020-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/2017/zod_187_2017_bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","70","","https://www.bvsas.sk/files/o-nas/legislativa/2017/zod_187_2017_bvs.pdf"
"https://www.bvsas.sk/vodarenske-muzeum/kontakty/rozsirene-kontakty/","text/html;charset=utf-8","200","","Indexable","","2c1c26ffba24e41bf542562fd32b07ed","67","https://www.bvsas.sk/vodarenske-muzeum/kontakty/rozsirene-kontakty/","https://www.bvsas.sk/vodarenske-muzeum/kontakty/rozsirene-kontakty/"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zops-254-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","97","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zops-254-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/2017/ost_27_2017_bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","69","","https://www.bvsas.sk/files/o-nas/legislativa/2017/ost_27_2017_bvs.pdf"
